# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72f63c73648
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a8dab61e397c80,_ZN6thrust6detail6device4cuda6detail23launch_closure_by_valueINS2_18for_each_n_closureINS_12zip_iteratorINS_5tupleINS_20permutation_iteratorINS6_INS7_INS_10device_ptrIfEESA_SA_SA_NS_9null_typeESB_SB_SB_SB_SB_EEEESA_EESD_SB_SB_SB_SB_SB_SB_SB_SB_EEEEjNS1_7generic6detail23unary_transform_functorINS_8identityINS7_IffffSB_SB_SB_SB_SB_SB_EEEEEEEEEEvT_,15468.8,15498,0.75,12,1,192,1,1,0,96,13,0,,3,245871,3,1130934,0,6,4194560,65540,0,1048640,0,65540,143646,1155
11a8dab61f2b3060,_Z27perturb_particles_v3_kernelPf9particles,7282.43,7458,0.667,8192,1,256,1,1,0,80,12,0,,2048,67584,2048,2527280,0,4096,0,327680,0,1310720,0,327680,740,794
11a8dab61fa03560,_Z17init_array_kernelPff,643.296,827,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217120,0,4096,0,0,0,262144,0,0,95,159
11a8dab61fafca60,_Z18time_update_kernel9particlesff,4862.37,5040,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,534,744
11a8dab61fffb940,_Z32apply_azimuth_observation_kernel9particles11observation,4180.9,4358,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757239,0,4096,0,196608,0,262144,0,196608,635,133
11a8dab6204ba160,memcpyHtoD,8.544,3,,,,,,,,,,0,4
11a8dab6204bfbc0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,394.624,581,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,106,152
11a8dab62053e260,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.856,41,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,122,0,1,0,1,0,4,0,1,0,0
11a8dab62055d0e0,memcpyDtoH,4.64,29,,,,,,,,,,0,4
11a8dab6205a7b80,_Z15multiply_kernelPff,1001.79,1030,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233493,0,4096,0,65536,0,262144,0,65536,86,168
11a8dab620728ca0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1794.66,1984,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398976,232329,4,4,65664,6,262660,0,65664,8,127
11a8dab6209651e0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,18.4,444,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1171,2,1,1,1,2,4,0,1,0,0
11a8dab6209e0b40,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,997.504,1394,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,768,49248,0,196992,0,49248,111,0
11a8dab620b65800,_Z18floor_array_kernelPf,998.816,1182,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,97,157
11a8dab620cb8f40,_Z19copy_indexes_kernel9particlesS_,6937.06,7181,1,8192,1,256,1,1,0,112,5,0,,2048,212556,70661,915622,0,4096,1048575,65536,2092114,10936,0,65536,372,140
11a8dab6213d3200,_ZN6thrust6detail6device4cuda6detail23launch_closure_by_valueINS2_18for_each_n_closureINS_12zip_iteratorINS_5tupleINS_20permutation_iteratorINS6_INS7_INS_10device_ptrIfEESA_SA_SA_NS_9null_typeESB_SB_SB_SB_SB_EEEESA_EESD_SB_SB_SB_SB_SB_SB_SB_SB_EEEEjNS1_7generic6detail23unary_transform_functorINS_8identityINS7_IffffSB_SB_SB_SB_SB_SB_EEEEEEEEEEvT_,15497.9,15779,0.75,12,1,192,1,1,0,96,13,0,,3,245901,3,1131066,0,6,4194560,65540,0,1048640,0,65540,128007,1159
11a8dab622314000,_Z27perturb_particles_v3_kernelPf9particles,7281.95,7657,0.667,8192,1,256,1,1,0,80,12,0,,2048,67584,2048,2527281,0,4096,0,327680,0,1310720,0,327680,729,805
11a8dab622a7fd20,_Z17init_array_kernelPff,643.264,882,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217120,0,4096,0,0,0,262144,0,0,95,159
11a8dab622b78e60,_Z18time_update_kernel9particlesff,4874.56,5055,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,549,729
11a8dab6230be7a0,_Z32apply_azimuth_observation_kernel9particles11observation,4171.55,4356,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757234,0,4096,0,196608,0,262144,0,196608,364,402
11a8dab623573d60,memcpyHtoD,8.672,3,,,,,,,,,,0,4
