# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72ff3b809b8
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a888a9a4d3b3c0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,992.928,1168,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,111,0
11a888a9a4ed9f00,_Z18floor_array_kernelPf,1000.86,1178,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,90,164
11a888a9a502aaa0,_Z21copy_particles_kernel9particlesS_,46361.5,46542,0.333,8192,1,256,1,1,0,112,22,0,,2048,209240,70375,11667430,0,4096,1048576,1382681,12546348,1234620,0,1483051,9150,1474
11a888a9a7cc6340,_Z18time_update_kernel9particlesff,4872.74,5051,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527847,0,4096,0,327680,0,786432,0,327680,525,753
11a888a9a81c77a0,_Z32apply_azimuth_observation_kernel9particles11observation,4191.33,4370,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757238,0,4096,0,196608,0,262144,0,196608,319,447
11a888a9a868e860,memcpyHtoD,8.48,8,,,,,,,,,,0,4
11a888a9a86947a0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,393.312,580,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65528,8,0,0,65544,106,152
11a888a9a874eba0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.912,191,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,0,0,0,0,4,0,1,0,0
11a888a9a87a5240,memcpyDtoH,4.384,250,,,,,,,,,,0,4
11a888a9a88213c0,_Z15multiply_kernelPff,1005.57,1183,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,96,158
11a888a9a89ba500,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1819.87,1996,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398980,227793,4,4,65664,8,261632,0,65408,8,127
11a888a9a8bcf800,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,19.424,192,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1170,0,1,1,1,0,0,0,0,0,0
11a888a9a8c2be20,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,990.56,1173,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,6,112
11a888a9a8dc1d20,_Z18floor_array_kernelPf,1008.67,1194,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,90,164
11a888a9a8f1b900,_Z21copy_particles_kernel9particlesS_,269009,269188,0.333,8192,1,256,1,1,0,112,22,0,,2048,191962,63366,10124332,0,4096,1048576,1259316,12509856,1060480,0,1304736,2688,1660
11a888a9b9007da0,_Z18time_update_kernel9particlesff,4906.5,5089,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527846,0,4096,0,327680,0,786432,0,327680,545,733
11a888a9b9512340,_Z32apply_azimuth_observation_kernel9particles11observation,4191.97,4380,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757236,0,4096,0,196608,0,262144,0,196608,350,416
11a888a9b99a7ae0,memcpyHtoD,8.928,7,,,,,,,,,,0,4
11a888a9b99ada00,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,394.24,583,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65528,8,0,0,65544,113,145
11a888a9b9a7f6a0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.88,401,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,0,0,0,0,4,0,1,0,0
11a888a9b9a9e920,memcpyDtoH,4.512,37,,,,,,,,,,0,4
11a888a9b9ae2340,_Z15multiply_kernelPff,1002.53,1029,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233493,0,4096,0,65536,0,262144,0,65536,93,162
11a888a9b9c8d540,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1800.54,1984,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398988,228276,4,4,65664,6,262660,0,65664,8,127
11a888a9b9e9b720,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.544,231,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1172,2,1,1,1,2,4,0,1,0,0
11a888a9b9f079c0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,998.24,1340,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,6,112
11a888a9ba0aeec0,_Z18floor_array_kernelPf,989.984,1184,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,93,161
11a888a9ba218f20,_Z21copy_particles_kernel9particlesS_,40411.7,40773,0.333,8192,1,256,1,1,0,112,22,0,,2048,189689,61976,9883327,0,4096,1048576,1248851,12555372,965180,0,1192901,5980,1652
11a888a9bc8f8700,_Z18time_update_kernel9particlesff,4954.08,5174,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527846,0,4096,0,327680,0,786432,0,327680,545,733
11a888a9bce74840,_Z32apply_azimuth_observation_kernel9particles11observation,4196.96,4767,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757233,0,4096,0,196608,0,262144,0,196608,345,421
11a888a9bd3189e0,memcpyHtoD,10.688,4,,,,,,,,,,0,4
11a888a9bd31eca0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,392.352,589,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65528,8,0,0,65544,87,171
11a888a9bd3dc8a0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,10.912,190,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,0,0,0,0,4,0,1,0,0
11a888a9bd43c4a0,memcpyDtoH,4.288,299,,,,,,,,,,0,4
11a888a9bd4c9a40,_Z15multiply_kernelPff,1002.14,1174,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,89,165
